Area_Type,Availability,Location,Size,Society Name,Total_Sqft,No of Bathroom,No of Balcony,Price in Lakhs,Price per sqft
Built-up  Area,21-Dec,"Judicial Layout, Kanakapura Road, ",2 BHK,,900,2,1,41,4556
Super built-up  Area,19-Dec,J.P.nagar 6th Phase.Sarakki Nagar,4 BHK,,2690,4,2,185,6877
Built-up  Area,Ready To Move,Kanakapura,2 BHK,,1340,2,2,65,4851
Plot  Area,18-Sep,Bommenahalli,4 BHK,Prood G,2940,3,2,2250,76531
Plot  Area,Ready To Move,Giri Nagar,6 BHK,,2400,6,1,400,16667
Super built-up  Area,19-Dec,Yelahanka,2 BHK,Goues A,1260,2,2,59.2,4698
Super built-up  Area,21-Feb,Talaghattapura,3 BHK,Sodgere,2254,3,2,153,6788
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,Brica E,2990,5,1,210,7023
Built-up  Area,Ready To Move,1st Block BEL Layout,4 BHK,,1800,5,1,250,13889
Built-up  Area,Ready To Move,JP Nagar,2 BHK,Adaveth,820,2,1,45,5488
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Naireru,1296,2,2,65,5015
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1190,2,1,53.55,4500
Super built-up  Area,19-Dec,Whitefield,2 BHK,Oreldhi,1173,2,1,77,6564
Plot  Area,16-Dec,Sarjapura - Attibele Road,3 BHK,,1800,3,2,90,5000
Built-up  Area,Ready To Move,Yelahanka,2 BHK,Rarthne,1102,2,0,52,4719
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,,913,2,1,36,3943
Super built-up  Area,18-Apr,Hormavu,3 BHK,,1176,2,1,35.27,2999
Built-up  Area,Ready To Move,Prithvi Layout,3 BHK,Srllaan,1620,3,,65,4012
Super built-up  Area,Ready To Move,Billekahalli,3 BHK,PuhtsHe,2968,3,,225,7581
Super built-up  Area,17-Dec,Yelahanka,2 BHK,Hotat H,1519,2,3,65,4279
Super built-up  Area,19-Dec,Dodsworth Layout,3 BHK,Prard B,1594,3,2,99,6211
Super built-up  Area,Ready To Move,Kaverappa Layout,2 BHK,SLarkic,1250,2,1,68,5440
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,Zostaa ,1056,2,1,60,5682
Plot  Area,18-Dec,Whitefield,3 BHK,,1200,3,1,68.4,5700
Plot  Area,Ready To Move,Kothnur Narayanapura,2 BHK,,1290,1,0,77.5,6008
Built-up  Area,Ready To Move,Amruthnagar,2 BHK,,1150,2,1,48,4174
Super built-up  Area,Ready To Move,Ambedkar Colony,2 BHK,RMcesa ,1464,2,1,145,9904
Plot  Area,Ready To Move,Anekal,4 BHK,,1200,2,1,36,3000
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,2 BHK,Mauner ,861,2,0,36.5,4239
Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,Dieldli,1047,2,1,82.62,7891
Plot  Area,Ready To Move,Lakshmipura,2 BHK,,1200,2,0,75,6250
Plot  Area,Ready To Move,Kirloskar Layout,10 BHK,,1200,10,,190,15833
Built-up  Area,Ready To Move,Hongasandra,2 BHK,,1065,2,1,45,4225
Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2300,3,3,369,16043
Super built-up  Area,Ready To Move,Ramamurthy Nagar,2 BHK,JSonyar,1000,2,1,62,6200
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1682,3,1,113,6718
Super built-up  Area,Ready To Move,Harlur,3 BHK,,1756,3,2,131,7460
Plot  Area,Ready To Move,BEL Road,5 BHK,,4000,4,2,1000,25000
Super built-up  Area,Ready To Move,Vignana Nagar,4 BHK,,1050,4,2,90,8571
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,,1238,2,1,67.32,5438
Super built-up  Area,Ready To Move,Dasanapura,2 BHK,Tavenew,814,2,1,42,5160
Built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,GSodsee,1145,2,1,46.5,4061
Super built-up  Area,Ready To Move,Varthur,2 BHK,Maita R,965,2,1,34,3523
Super built-up  Area,Ready To Move,Doddabele,2 BHK,,750,2,1,36,4800
Built-up  Area,Ready To Move,Banashankari,3 BHK,V2anags,1300,2,2,55,4231
Super built-up  Area,18-May,1st Phase JP Nagar,3 BHK,Inntsth,1590,3,3,131,8239
Super built-up  Area,20-Aug,Begur Road,1 BHK,Pruthg ,644,1,1,40,6211
Super built-up  Area,18-Mar,Whitefield,2 BHK,Pranthi,982,2,1,37,3768
Super built-up  Area,Ready To Move,Indira Nagar,2 BHK,,1260,2,2,100,7937
Super built-up  Area,Ready To Move,Rayasandra,3 BHK,MJeusyl,1555,3,2,75.17,4834
Built-up  Area,Ready To Move,Race Course Road,4 BHK,,2500,4,1,450,18000
Super built-up  Area,18-Aug,Kaggadasapura,2 BHK,,1225,2,2,48,3918
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,PisomSu,1085,2,1,46,4240
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640,3,2,220,13415
Built-up  Area,18-Aug,Thanisandra,3 BHK,Bhmesy ,1595,3,1,110,6897
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1196,2,2,40.44,3381
Super built-up  Area,18-Mar,Yelahanka,3 BHK,Miitat ,1859,3,1,108,5810
Super built-up  Area,21-Sep,9th Phase JP Nagar,2 BHK,Vasisvi,1079,2,1,60,5561
Built-up  Area,Ready To Move,Shivaji Nagar,2 BHK,,550,1,1,27,4909
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Satanan,1118,2,1,42,3757
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,Roareta,1198,2,2,60,5008
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,1830,4,2,135,7377
Super built-up  Area,20-Oct,Banashankari Stage VI,2 BHK,Brens7 ,1160,2,1,59,5086
Super built-up  Area,Ready To Move,Srirampuram,3 BHK,,1485,2,1,156,10505
Super built-up  Area,Ready To Move,Ejipura,3 BHK,Emsic C,2070,3,3,135,6522
Plot  Area,Ready To Move,Basaveshwara Nagar,6 BHK,,750,4,1,150,20000
Built-up  Area,17-Mar,Kannamangala,2 BHK,VBownre,957,2,0,52.5,5486
Plot  Area,Ready To Move,Basaveshwara Nagar,5 BHK,,2400,4,1,310,12917
Super built-up  Area,18-Dec,Bannerghatta Road,2 BHK,Uncioe ,1268,2,1,69,5442
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1450,2,2,87,6000
Built-up  Area,Ready To Move,Manorayana Palya,3 BHK,Bhncy V,1600,2,2,75,4688
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,1330,2,1,57,4286
Super built-up  Area,Ready To Move,Jakkur,3 BHK,Paurt C,1355,2,2,65,4797
Super built-up  Area,Ready To Move,Abbaiah Reddy Layout,2 BHK,SSaveik,1100,2,1,38.49,3499
Super built-up  Area,Ready To Move,Chikkalasandra,2 BHK,,1075,2,1,46.76,4350
Super built-up  Area,Ready To Move,Lingarajapuram,2 BHK,,800,2,1,55,6875
Built-up  Area,Ready To Move,Vasantha Vallabha Nagar,2 BHK,Nentsan,900,1,1,44,4889
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,RInceeg,1140,2,1,42,3684
Super built-up  Area,Ready To Move,Ganga Nagar,3 BHK,,1480,2,2,125,8446
Super built-up  Area,18-May,Padmanabhanagar,3 BHK,,1710,2,2,90.63,5300
Super built-up  Area,21-Dec,Talaghattapura,3 BHK,Sodgere,2106,3,3,148,7028
Plot  Area,Ready To Move,Yeshwanthpur,9 BHK,,2400,6,,270,11250
Plot  Area,Ready To Move,Sadahalli,3 BHK,K ensad,3800,2,,130,3421
Plot  Area,Ready To Move,Vajarahalli,3 BHK,,800,3,2,120,15000
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,RookaJh,1602,2,,104,6492
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,DSndsod,1660,2,2,116,6988
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,SJmesst,1549,3,2,80,5165
Super built-up  Area,19-Mar,Marathahalli,1 BHK,Unezes ,700,1,1,38,5429
Super built-up  Area,18-Dec,Balagere,2 BHK,Soresea,1012,2,1,64,6324
Super built-up  Area,18-Aug,Whitefield,2 BHK,Prtates,1216,2,1,69,5674
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Brods W,1065,2,1,56.13,5270
Super built-up  Area,19-Mar,Thanisandra,3 BHK,Bhe 2ko,1411,3,1,93.15,6602
Super built-up  Area,Ready To Move,Pai Layout,2 BHK,Vatlede,1400,2,2,57.5,4107
Super built-up  Area,Ready To Move,Hoskote,3 BHK,Deiveer,1250,3,2,29,2320
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1245,2,3,62,4980
Super built-up  Area,Ready To Move,Choodasandra,2 BHK,GRhtiru,1115,2,1,50,4484
Super built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,DSestil,1000,2,1,35,3500
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,Chllsev,1800,3,2,90,5000
Super built-up  Area,Ready To Move,Mathikere,2 BHK,CSncele,1500,2,2,130,8667
Super built-up  Area,18-Jun,Kothannur,3 BHK,,1275,3,2,44,3451
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,Esree8 ,1494,3,2,82,5489
Super built-up  Area,Ready To Move,Bhoganhalli,3 BHK,Prsun S,1949,3,2,129,6619
Super built-up  Area,Ready To Move,BTM Layout,2 BHK,Krberl ,1020,2,1,46.5,4559
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrawnRa,883,2,1,45,5096
Built-up  Area,Ready To Move,Old Airport Road,4 BHK,,3200,4,,280,8750
Plot  Area,Ready To Move,Uttarahalli,6 BHK,,1680,6,1,125,7440
Plot  Area,Ready To Move,Mysore Road,12 BHK,,2232,6,2,300,13441
Super built-up  Area,Ready To Move,Anand nagar,3 BHK,,2010,3,3,125,6219
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,IBityin,1240,2,2,80,6452
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,,1213,2,1,63,5194
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Golmsn ,1835,3,3,88,4796
Plot  Area,Ready To Move,Hoskote,9 BHK,,1800,10,3,185,10278
Super built-up  Area,Ready To Move,Bannerghatta Road,4 BHK,Kobhiil,2932,5,,195,6651
Built-up  Area,Ready To Move,Whitefield,4 BHK,,3425,5,2,250,7299
Built-up  Area,Ready To Move,Gottigere,2 BHK,Skvasa ,945,2,0,45,4762
Super built-up  Area,Ready To Move,Sathya Layout,3 BHK,NChtsun,1504,2,2,100,6649
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,RothaVa,1569,3,2,150,9560
Super built-up  Area,Ready To Move,Harlur,3 BHK,Prncyrn,1755,3,2,130,7407
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,GoncyRe,1760,3,,140,7955
Super built-up  Area,18-May,Hoodi,2 BHK,,1240,2,3,43.94,3544
Super built-up  Area,19-Dec,Electronics City Phase 1,3 BHK,Shitt S,1450,3,2,72.54,5003
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Maodser,1000,2,0,48,4800
Plot  Area,Ready To Move,Shivaji Nagar,1 BHK,,3820,1,1,306,8010
Super built-up  Area,Ready To Move,Thyagaraja Nagar,5 BHK,,2000,4,2,145,7250
Super built-up  Area,Ready To Move,Choodasandra,2 BHK,GRlpank,1215,2,2,59,4856
Super built-up  Area,Ready To Move,Yelachenahalli,3 BHK,,1330,3,3,73.5,5526
Super built-up  Area,18-Aug,Raja Rajeshwari Nagar,2 BHK,Prllsan,1178,2,1,75,6367
Plot  Area,18-Aug,Hulimavu,4 BHK,ValleCi,1500,4,3,192,12800
Super built-up  Area,Ready To Move,Shree Ananth Nagar Layout,2 BHK,Aaityi ,2040,2,2,59,2892
Super built-up  Area,18-Mar,Bellandur,3 BHK,,2000,3,2,85,4250
Super built-up  Area,18-May,Shanti Nagar,3 BHK,UbreeAn,1602,2,1,165,10300
Plot  Area,Ready To Move,2nd Stage Arekere Mico Layout,4 BHK,,1200,4,1,130,10833
Built-up  Area,Ready To Move,Jayamahal,3 BHK,Peace P,1800,3,1,220,12222
Plot  Area,Ready To Move,Dasarahalli,3 BHK,,2400,2,1,152,6333
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Maantr ,1700,3,3,108,6353
Built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsan,1200,3,2,65,5417
Plot  Area,Ready To Move,Veer Sandra,3 BHK,Thessie,1500,3,0,72,4800
Plot  Area,Ready To Move,Karuna Nagar,3 BHK,CoinoCu,1240,3,2,165,13306
Built-up  Area,Ready To Move,Whitefield,3 BHK,,3000,3,2,400,13333
Built-up  Area,Ready To Move,Kanakpura Road,3 BHK,,1737,3,3,85,4893
Built-up  Area,Ready To Move,Chennappa Layout,3 BHK,Mawerer,1280,2,1,48,3750
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,Chhalut,1560,2,2,85,5449
Super built-up  Area,Ready To Move,Kambipura,2 BHK,,883,2,1,44,4983
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,,750,2,1,33,4400
Super built-up  Area,Ready To Move,Brookefield,4 BHK,Gotaten,2400,3,3,140,5833
Super built-up  Area,Ready To Move,Bhuvaneshwari Nagar,2 BHK,NaaveEn,900,2,1,45,5000
Super built-up  Area,Ready To Move,Hormavu,2 BHK,,1030,2,1,49.35,4791
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brngsal,1850,3,2,155,8378
Built-up  Area,Ready To Move,Hennur Road,3 BHK,SaireSa,1831,3,1,110,6008
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar 5th Stage,2 BHK,,1095,2,1,38.33,3500
Built-up  Area,18-Jul,Electronic City Phase II,3 BHK,Sryalan,1320,2,1,38.13,2889
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,,1000,2,1,61,6100
Super built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1820,3,2,85.4,4692
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2,1,41,3814
Plot  Area,18-May,TC Palaya,3 BHK,,1500,3,0,83,5533
Super built-up  Area,Ready To Move,Electronics City Phase 1,1 RK,,360,1,0,16.9,4694
Super built-up  Area,21-Dec,Electronic City,2 BHK,KonteiT,1140,2,1,70.93,6222
Super built-up  Area,18-Oct,Chennammana Kere,2 BHK,,1145,2,2,58.4,5100
Super built-up  Area,Ready To Move,RMV Extension Stage 2,3 BHK,,1862,3,3,120,6445
Super built-up  Area,Ready To Move, Devarachikkanahalli,2 BHK,,947,2,2,43,4541
Plot  Area,Ready To Move,Chandra Layout,3 BHK,,700,3,2,195,27857
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,,1120,2,2,40,3571
Built-up  Area,Ready To Move,Sadanand Nagar,3 BHK,,2700,3,3,200,7407
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Matlelp,1805,2,2,75,4155
Super built-up  Area,Ready To Move,Basavangudi,2 BHK,,1100,2,3,93,8455
Plot  Area,Ready To Move,Bommenahalli,4 BHK,Prana S,1355,3,0,135,9963
Built-up  Area,18-Dec,"Whietfield, ",3 BHK,,1677,3,2,98,5844
Built-up  Area,Ready To Move,Hosapalya,8 BHK,,2500,8,3,95,3800
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1560,3,3,74,4744
Super built-up  Area,Ready To Move,Arekere,3 BHK,,2060,3,2,150,7282
Super built-up  Area,Ready To Move,Koramangala,3 BHK,KHage G,1716,2,0,115,6702
Super built-up  Area,Ready To Move,Harlur,3 BHK,,1864,3,1,140,7511
Built-up  Area,Ready To Move,Electronics City Phase 1,1 BHK,,638,1,1,32,5016
Plot  Area,Ready To Move,Sidedahalli,9 BHK,,1200,7,3,95,7917
Super built-up  Area,Ready To Move,Kodigehalli,8 BHK,,1150,9,,170,14783
Super built-up  Area,18-Dec,Chandapura,2 BHK,AMAKS O,937,2,1,30,3202
Built-up  Area,Ready To Move,Hennur Gardens,3 BHK,PlhtsHe,1490,2,1,115,7718
Super built-up  Area,Ready To Move,Frazer Town,4 BHK,Meentan,4856,5,3,410,8443
Plot  Area,Ready To Move,Whitefield,4 BHK,Chllea ,4003,6,1,525,13115
Super built-up  Area,17-May,Whitefield,2 BHK,SVineun,1100,2,1,37,3364
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Saowsi ,1000,2,2,48.53,4853
Super built-up  Area,Ready To Move,Horamavu Agara,2 BHK,,1060,2,1,37,3491
Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,Dieldli,1047,2,1,91,8691
Built-up  Area,Ready To Move,Basaveshwara Nagar,2 BHK,,1200,2,2,80,6667
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1420,2,2,75,5282
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,CoLeoen,1539,3,,85,5523
Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,Dhndsh ,1550,3,1,59,3806
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,,1555,3,3,82,5273
Plot  Area,Ready To Move,BTM Layout 1stage 9th Main,7 BHK,,600,6,2,138,23000
Super built-up  Area,Ready To Move,Seegehalli,3 BHK,Srandir,1553,3,3,68,4379
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Rie 2ri,920,2,2,26,2826
Super built-up  Area,Ready To Move,Jeevan bima nagar,3 BHK,Lancysi,1740,3,3,120,6897
Super built-up  Area,Ready To Move,OMBR Layout,3 BHK,,1855,3,2,145,7817
Super built-up  Area,18-Mar,Kundalahalli,3 BHK,Dieldli,1724,3,1,146,8469
Super built-up  Area,Ready To Move,B Narayanapura,2 BHK,Inentva,1020,2,2,60,5882
Plot  Area,Ready To Move,Banaswadi,6 BHK,,1000,4,2,150,15000
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1250,2,1,50,4000
Super built-up  Area,Ready To Move,Sanjay nagar,3 BHK,,1450,3,2,75,5172
Super built-up  Area,Ready To Move,Thubarahalli,2 BHK,ShdhiSa,1200,2,2,80,6667
Built-up  Area,Ready To Move,Haralur Road,2 BHK,Siows M,1140,2,2,58,5088
Plot  Area,Ready To Move,Hoskote,5 BHK,,900,5,2,110,12222
Super built-up  Area,Ready To Move,Basava Nagar,1 BHK,SLionan,550,1,1,16,2909
Super built-up  Area,17-Oct,Bannerghatta Road,3 BHK,SNillin,1450,3,1,44,3034
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700,2,1,35.07,5010
Plot  Area,18-Jul,Whitefield,3 BHK,,1200,3,1,56,4667
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Apows M,1050,2,1,45,4286
Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,,1600,3,3,69,4313
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,,1625,2,3,75,4615
Super built-up  Area,Ready To Move,Volagerekallahalli,2 BHK,AszarAl,1492,2,2,65,4357
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,CoLeoen,1489,2,3,82,5507
Super built-up  Area,Ready To Move,Kanakapura,3 BHK,,1560,2,2,62.38,3999
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,RInceeg,1140,2,2,42,3684
Super built-up  Area,Ready To Move,Lavakusha Nagar,3 BHK,Vanusn ,1431,3,2,65,4542
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1682,3,1,114,6778
Super built-up  Area,18-Feb,Panathur,2 BHK,Prcesvy,1198,2,1,86.26,7200
Plot  Area,18-May,Outer Ring Road East,3 BHK,PrstaTe,3664,3,2,325,8870
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,SJityaz,1550,2,2,69.75,4500
Super built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,,1026,2,1,45,4386
Built-up  Area,Ready To Move,Hennur,3 BHK,,1260,2,2,52,4127
Plot  Area,Ready To Move,Singanayakanahalli,2 BHK,,690,2,0,42,6087
Super built-up  Area,Ready To Move,Sarjapur  Road,1 BHK,Ahriaup,539,1,1,45,8349
Built-up  Area,Ready To Move,Sarakki Nagar,4 BHK,,1200,4,1,85,7083
Built-up  Area,Ready To Move,Attibele,3 BHK,,2400,3,3,120,5000
Super built-up  Area,Ready To Move,Thubarahalli,2 BHK,ShdhiSa,1200,2,2,79.55,6629
Plot  Area,Ready To Move,Kundalahalli,4 BHK,,2500,5,2,350,14000
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,MJinele,1186,2,2,40,3373
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,SLityee,1039,2,2,39.5,3802
Plot  Area,Ready To Move,Mahalakshmi Puram,4 BHK,,1500,5,3,233,15533
Plot  Area,Ready To Move,Gottigere,5 BHK,,1500,4,1,100,6667
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,Maionra,2520,3,2,150,5952
Built-up  Area,Ready To Move,Brookefield,2 BHK,Roeekbl,1225,2,2,66.5,5429
Built-up  Area,Ready To Move,Bommanahalli,2 BHK,BlibuMa,1350,2,2,72,5333
Super built-up  Area,Ready To Move,Vittal Mallya Road,2 BHK,Pontspa,1030,2,2,300,29126
Built-up  Area,Ready To Move,Whitefield,3 BHK,,1550,2,2,49.6,3200
Super built-up  Area,Ready To Move,Hoodi,3 BHK,,1490,3,2,79,5302
Super built-up  Area,Ready To Move,Brindavan Nagar,3 BHK,Mancy R,1520,3,2,111,7303
Plot  Area,Ready To Move,Whitefield,4 BHK,Adowslm,4100,4,,550,13415
Built-up  Area,Ready To Move,Dena Bank Colony,3 BHK,Aliewe ,1391,2,3,64.5,4637
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,Paentta,1200,2,2,50,4167
Plot  Area,Ready To Move,Kadabagere,4 BHK,,1200,4,2,86,7167
Plot  Area,Ready To Move,1st Block HBR Layout,5 BHK,,2500,6,3,500,20000
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,PuziaVe,1322,2,2,80,6051
Super built-up  Area,19-Dec,Whitefield,3 BHK,Goted U,2173,3,2,128,5890
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,AbiewLa,1200,2,2,75,6250
Super built-up  Area,Ready To Move,Thubarahalli,2 BHK,,1200,2,2,47,3917
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,,1170,2,2,65,5556
Super built-up  Area,17-Dec,NRI Layout,2 BHK,,1125,2,2,45.56,4050
Super built-up  Area,Ready To Move,Seetharampalya,2 BHK,ArierPr,1250,2,2,90,7200
Super built-up  Area,19-Dec,Chandapura,2 BHK,SuVue S,1025,2,2,27.68,2700
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,,1075,2,2,36,3349
Super built-up  Area,Ready To Move,High grounds,3 BHK,,1900,2,2,190,10000
Built-up  Area,Ready To Move,Whitefield,3 BHK,JahanSa,1435,3,2,45,3136
Super built-up  Area,18-Dec,Electronics City Phase 1,2 BHK,Shitt S,1175,2,2,64.98,5530
Built-up  Area,Ready To Move,Doddabidrakallu,2 BHK,Lants A,900,2,1,33,3667
Super built-up  Area,Ready To Move,Electronics City Phase 1,1 BHK,,585,1,1,21,3590
Plot  Area,Ready To Move,Jigani,4 BHK,Prllasw,3170,5,2,230,7256
Super built-up  Area,18-May,Shanti Nagar,3 BHK,UbreeAn,1602,2,1,170,10612
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MenueNo,1220,2,2,42,3443
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2500,3,3,350,14000
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Adeatlm,2145,3,3,180,8392
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,SNity S,960,2,3,58,6042
Super built-up  Area,Ready To Move,NGR Layout,1 BHK,DSestre,907,1,1,38,4190
Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,Brglede,1210,2,1,74,6116
Plot  Area,Ready To Move,Kammanahalli,4 BHK,,900,4,1,150,16667
Super built-up  Area,Ready To Move,Jnana Ganga Nagar,2 BHK,SLestde,1230,2,2,70,5691
Super built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,MBaleRo,1350,2,1,75,5556
Super built-up  Area,Ready To Move,Kenchenahalli,2 BHK,Unateit,1150,2,2,58,5043
Super built-up  Area,19-Apr,Sarjapur,3 BHK,CLdiaAr,1404,2,0,53.35,3800
Super built-up  Area,Ready To Move,OMBR Layout,2 BHK,,1050,2,3,48,4571
Plot  Area,Ready To Move,Kothanur,8 BHK,,1020,10,0,155,15196
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Hotat H,1285,2,2,56,4358
Super built-up  Area,Ready To Move,Hormavu,2 BHK,ARureig,1018,2,1,50.8,4990
Plot  Area,Ready To Move,Hoskote,3 BHK,,1200,3,2,57,4750
Super built-up  Area,Ready To Move,Ejipura,3 BHK,DSidsrc,1600,3,3,95,5938
Super built-up  Area,21-Sep,9th Phase JP Nagar,2 BHK,Vasisvi,1480,2,1,80,5405
Built-up  Area,Ready To Move,Kodichikkanahalli,5 BHK,,2500,7,0,125,5000
Built-up  Area,Ready To Move,Kaval Byrasandra,1 BHK,,480,1,1,25,5208
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,Madgeer,1435,3,3,53,3693
Built-up  Area,Ready To Move,Lingarajapuram,1 BHK,,450,1,2,60,13333
Super built-up  Area,Ready To Move,Austin Town,1 BHK,,600,2,0,23,3833
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,Chhamku,1590,2,3,85,5346
Built-up  Area,Ready To Move,Nagavara,2 BHK,,936,2,0,40.2,4295
Super built-up  Area,Ready To Move,Banashankari,2 BHK,,1181,2,1,75,6351
Super built-up  Area,18-Apr,Kengeri,3 BHK,Liwerun,1741,3,2,80,4595
Super built-up  Area,19-Dec,JP Nagar,3 BHK,Shestut,1750,3,1,123,7029
Super built-up  Area,Ready To Move,Varthur Road,2 BHK,,1050,2,2,42.7,4067
Super built-up  Area,17-Dec,Tumkur Road,2 BHK,Sahtsva,1027,2,1,60,5842
Built-up  Area,Ready To Move,Geleyara Balaga Layout,2 BHK,Jahtsa ,596,2,1,22,3691
Built-up  Area,Ready To Move,Dollar Scheme Colony,4 BHK,Vacesi ,3463,6,0,310,8952
Built-up  Area,Ready To Move,Sector 2 HSR Layout,3 BHK,,1600,3,2,70,4375
Super built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,ArrdsOr,1000,2,1,60,6000
Super built-up  Area,18-Apr,Varthur,2 BHK,Muistry,1120,2,2,44.24,3950
Plot  Area,Ready To Move,Jinkethimmanahalli,2 BHK,,1200,2,0,85,7083
Super built-up  Area,18-Jun,Kothnoor Dinne,2 BHK,,1200,2,2,35,2917
Super built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,GoratAr,1570,3,2,110,7006
Super built-up  Area,Ready To Move,Koramangala,3 BHK,Ansna K,1500,3,1,135,9000
Built-up  Area,Ready To Move,Frazer Town,2 BHK,Elrisnt,1315,2,2,140,10646
Super built-up  Area,18-Apr,Electronic City Phase II,2 BHK,Sryalan,1140,2,1,33.84,2968
Super built-up  Area,Ready To Move,Banashankari,2 BHK,Goeesem,1105,2,2,90,8145
Built-up  Area,18-Dec,Electronic City,2 BHK,,1200,2,1,34.65,2888
Super built-up  Area,18-Dec,Whitefield,1 BHK,Prtates,905,1,1,62,6851
Plot  Area,Ready To Move,HSR Layout,4 BHK,,2400,4,0,350,14583
